,name,company,year,Price,kms_driven,fuel_type
43,Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017,220000,30874,Petrol
44,City ZX CVT,Honda,2017,170000,15000,Diesel
45,Suzuki Wagon R LX BS IV,Maruti,2013,85000,29685,Petrol
46,Indigo eCS LS CR4 BS IV,Tata,2017,200000,130000,Diesel
47,Scorpio SLE BS IV,Mahindra,2012,570000,19000,Diesel
48,Polo Highline Exquisite P,Volkswagen,2014,315000,60000,Petrol
49,Spark LS 1.0,Chevrolet,2010,110000,41000,Petrol
50,Duster 110PS Diesel RxZ,Renault,2012,501000,35000,Diesel
51,City,Honda,2015,448999,54000,Petrol
52,Cooper S 1.6,Mini,2013,1891111,13000,Petrol
53,Fabia 1.2L Diesel Ambiente,Skoda,2011,159500,38200,Diesel
54,Amaze,Honda,2015,344999,22000,Petrol
55,Duster,Renault,2014,449999,50000,Diesel
56,Cooper S 1.6,Mini,2013,1891111,13500,Petrol
57,Scorpio S4,Mahindra,2015,865000,30000,Diesel
58,Scorpio VLX 2WD BS IV,Mahindra,2014,699000,50000,Diesel
59,Quanto C8,Mahindra,2013,375000,20000,Diesel
60,EcoSport,Ford,2017,489999,39000,Petrol
61,Brio,Honda,2012,224999,30000,Petrol
62,Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019,1200000,3600,Diesel
63,i20 Magna,Hyundai,2009,195000,32000,Petrol
64,Corolla Altis Diesel D4DG,Toyota,2010,351000,38000,Diesel
65,Verna Transform SX VTVT,Hyundai,2008,160000,45000,Petrol
66,Corolla Altis Petrol Ltd,Toyota,2009,240000,35000,Petrol
67,City 1.5 EXi New,Honda,2005,90000,50000,Petrol
68,Fabia 1.2L Diesel Elegance,Skoda,2011,155000,45863,Diesel
69,3 Series 320i,BMW,2011,600000,60500,Petrol
70,Suzuki A Star Lxi,Maruti,2011,189500,12500,Petrol
71,Etios GD,Toyota,2013,350000,60000,Diesel
72,Figo Diesel EXI Option,Ford,2012,210000,35000,Diesel
73,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014,390000,35000,Petrol
74,Beat LT Diesel,Chevrolet,2012,135000,45000,Diesel
75,7 Series 740Li Sedan,BMW,2009,1600000,35000,Petrol
76,XUV500 W8 AWD 2013,Mahindra,2013,701000,38000,Diesel
77,i10 Magna 1.2,Hyundai,2014,265000,18000,Petrol
78,Verna Fluidic New,Hyundai,2015,525000,35000,Diesel
79,Suzuki Swift VXi 1.2 BS IV,Maruti,2013,372000,13349,Petrol
80,Suzuki Ertiga ZXI Plus,Maruti,2016,635000,29000,Petrol
81,EcoSport Titanium 1.5L TDCi,Ford,2014,550000,44000,Diesel
82,Suzuki Ertiga Vxi,Maruti,2016,575000,29000,Petrol
83,Suzuki Ertiga VDi,Maruti,2013,485000,42000,Diesel
84,Suzuki Alto LXi BS III,Maruti,2012,155000,14000,Petrol
85,Grand i10 Asta 1.1 CRDi,Hyundai,2014,345000,49000,Diesel
86,Amaze 1.2 S i VTEC,Honda,2014,325000,42000,Petrol
87,i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,329500,36200,Diesel
88,Figo Diesel EXI,Ford,2014,195000,50000,Diesel
89,Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,251111,55000,Petrol
90,Suzuki Ertiga ZXi,Maruti,2014,569999,45000,Petrol
91,Suzuki Esteem LXi BS III,Maruti,2007,69999,51000,Petrol
92,Suzuki Ritz VXI,Maruti,2014,299999,19000,Petrol
93,Suzuki Dzire,Maruti,2009,220000,46000,Petrol
94,Suzuki Ritz LDi,Maruti,2013,399999,33000,Diesel
95,Suzuki Dzire VDI,Maruti,2015,450000,104000,Diesel
96,Etios Liva G,Toyota,2014,270000,55000,Petrol
97,i20 Sportz 1.4 CRDI,Hyundai,2011,350000,33333,Diesel
98,Spark,Chevrolet,2012,158400,33600,Petrol
99,Suzuki Alto K10 VXi AMT,Maruti,2017,350000,5600,Petrol
100,Micra XV,Nissan,2011,179000,41000,Petrol
101,Suzuki Swift,Maruti,2007,125000,70000,Petrol
102,Suzuki Alto 800,Maruti,2018,200000,7500,Petrol
103,Amaze 1.5 S i DTEC,Honda,2013,299000,45000,Diesel
104,Suzuki Alto 800 Vxi,Maruti,2015,220000,38000,Petrol
105,Beat,Chevrolet,2015,150000,30000,Petrol
106,City 1.5 V MT,Honda,2010,285000,35000,Petrol
107,EcoSport Trend 1.5L TDCi,Ford,2016,830000,24330,Diesel
108,i20 Asta 1.2,Hyundai,2009,210000,65480,Petrol
109,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013,340000,41000,Petrol
110,Indica V2 eLS,Tata,2006,90000,20000,Petrol
111,Motors Ambassador,Hindustan,2000,70000,200000,Diesel
112,Corolla Altis 1.8 GL,Toyota,2010,289999,70000,Petrol
113,Corolla Altis 1.8 J,Toyota,2012,349999,59000,Petrol
114,Innova 2.5 GX BS IV 7 STR,Toyota,2012,849999,99000,Diesel
115,Jetta Highline TDI AT,Volkswagen,2014,749999,46000,Diesel
116,Polo Comfortline 1.2L P,Volkswagen,2015,399999,2800,Petrol
117,Polo,Volkswagen,2014,274999,32000,Petrol
118,Scorpio,Mahindra,2015,984999,22000,Diesel
119,Sunny,Nissan,2012,224999,45000,Petrol
120,Elite i20,Hyundai,2018,599999,21000,Petrol
121,Kwid,Renault,2016,244999,11000,Petrol
122,Duster,Renault,2013,399999,41000,Diesel
123,Duster,Renault,2014,474999,50000,Diesel
124,Scorpio VLX Airbag,Mahindra,2011,499999,66000,Diesel
125,Suzuki Alto 800 Lxi,Maruti,2018,310000,3000,Petrol
126,Spark LT 1.0,Chevrolet,2010,85000,45000,Petrol
127,Redi GO T O,Datsun,2016,245000,7000,Petrol
128,Suzuki Swift RS VDI,Maruti,2010,189500,38500,Diesel
129,Punto Emotion 1.2,Fiat,2012,169500,37200,Diesel
130,Suzuki Swift RS VDI,Maruti,2010,159500,43200,Diesel
131,Etios GD,Toyota,2013,275000,24800,Petrol
132,i20 Sportz 1.4 CRDI,Hyundai,2014,370000,60000,Diesel
133,i10 Sportz 1.2,Hyundai,2010,168000,45872,Petrol
134,Beat LT Opt Diesel,Chevrolet,2011,150000,40000,Diesel
135,Beat LS Diesel,Chevrolet,2011,145000,45000,Diesel
136,Beat LT Diesel,Chevrolet,2012,98500,38000,Diesel
137,Indigo CS,Tata,2011,85000,11400,Diesel
138,Corolla Altis 1.8 J,Toyota,2015,575000,42000,Petrol
139,City 1.5 V MT,Honda,2014,549000,39000,Petrol
140,Suzuki Swift VDi,Maruti,2011,209000,47000,Diesel
141,Eon Era Plus,Hyundai,2013,185000,27000,Petrol
142,Scorpio S10,Mahindra,2015,900000,97200,Diesel
143,XUV500,Mahindra,2014,699999,52000,Diesel
144,Fiesta,Ford,2011,274999,55000,Diesel
145,City,Honda,2015,599999,30000,Diesel
146,Suzuki Wagon R,Maruti,2012,199999,44000,Petrol
147,City,Honda,2014,544999,45000,Diesel
148,i20,Hyundai,2009,199000,31000,Petrol
149,Indigo eCS LX TDI BS III,Tata,2016,320000,175430,Diesel
150,Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000,38000,Diesel
151,Quanto C8,Mahindra,2013,340000,37000,Diesel
152,Petra ELX 1.2 PS,Fiat,2008,75000,65000,Petrol
153,Santro Xing XS,Hyundai,2005,49000,7500,Petrol
154,Suzuki Ciaz VXi Plus,Maruti,2016,700000,3350,Petrol
155,Suzuki Zen VX,Maruti,2000,55000,60000,Petrol
156,Creta 1.6 SX Plus Petrol,Hyundai,2017,895000,32000,Petrol
157,Scorpio SLX,Mahindra,2007,355000,75000,Diesel
158,Scorpio SLE BS IV,Mahindra,2012,565000,62000,Diesel
159,Innova 2.5 G BS III 8 STR,Toyota,2006,365000,73000,Diesel
160,Suzuki Alto K10 VXi AMT,Maruti,2011,145000,41000,Petrol
161,Suzuki Wagon R LXI BS IV,Maruti,2011,210000,35000,Petrol
162,Nano Cx BSIV,Tata,2013,40000,2200,Petrol
163,Suzuki Alto Std BS IV,Maruti,2013,125000,39000,Petrol
164,Suzuki Wagon R LXi BS III,Maruti,2009,135000,45000,Petrol
165,Suzuki Swift VXI BSIII,Maruti,2006,135000,45000,Petrol
166,Sumo Victa EX 10 by 7 Str BSIII,Tata,2012,285000,65000,Diesel
167,Suzuki Wagon R LXi BS III,Maruti,2010,145000,54870,Petrol
168,Suzuki Alto LXi BS III,Maruti,2010,135000,34580,Petrol
169,Passat Diesel Comfortline AT,Volkswagen,2009,450000,97000,Diesel
170,Scala RxL Diesel Travelogue,Renault,2015,375000,25000,Diesel
171,Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,365000,20000,Petrol
172,i20 Active 1.2 SX,Hyundai,2015,500000,18000,Petrol
173,Xylo E4,Mahindra,2012,400000,35000,Diesel
174,Jeep MM 550 XDB,Mahindra,2019,390000,60,Diesel
175,Bolero SLE BS IV,Mahindra,2013,330000,80200,Diesel
176,Motors  One LX ABS 7 STR,Force,2015,580000,3200,Diesel
177,Suzuki SX4,Maruti,2012,265000,46000,Diesel
178,Jeep CL550 MDI,Mahindra,2019,379000,0,Diesel
179,Suzuki Alto 800,Maruti,2015,219000,5000,Petrol
180,Jeep CL550 MDI,Mahindra,2018,385000,588,Diesel
181,Etios,Toyota,2011,275000,36000,Diesel
182,Polo,Volkswagen,2015,330000,38000,Diesel
183,City ZX VTEC,Honda,2008,110000,45000,Petrol
184,Suzuki Wagon R LX BS III,Maruti,2006,80000,71200,Petrol
185,City VX O MT Diesel,Honda,2016,519000,52000,Diesel
186,Thar CRDe 4x4 AC,Mahindra,2016,730000,29000,Diesel
187,A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,699000,47000,Petrol
188,Benz GLA Class 200 CDI Sport,Mercedes,2015,2000000,20000,Diesel
189,Rover Freelander 2 SE,Land,2015,2100000,30000,Diesel
190,Kwid RXT,Renault,2017,340000,5000,Petrol
191,Aria Pleasure 4X2,Tata,2014,390000,35000,Diesel
192,Benz B Class B180 Sports,Mercedes,2014,1400000,31000,Petrol
193,GO T O,Datsun,2016,245000,7000,Petrol
194,Indigo eCS LX TDI BS III,Tata,2016,320000,175400,Diesel
195,Jazz VX MT,Honda,2016,450000,41000,Petrol
196,Amaze 1.2 S i VTEC,Honda,2014,311000,33000,Petrol
197,City,Honda,2012,399999,45000,Petrol
198,City,Honda,2015,599999,39000,Diesel
199,Scorpio S4,Mahindra,2015,855000,30000,Diesel
200,i20 Active 1.4L SX O,Hyundai,2015,535000,37000,Diesel
201,Cooper S,Mini,2013,1891111,13000,Petrol
202,Suzuki Ciaz ZXI Plus,Maruti,2017,699000,14000,Petrol
203,Tavera Neo,Chevrolet,2013,375000,55000,Diesel
204,Eon Sportz,Hyundai,2012,178000,30000,Petrol
205,Sumo Gold Select Variant,Tata,2013,300000,50000,Diesel
206,Suzuki Wagon R 1.0,Maruti,2003,90000,45000,Petrol
207,Suzuki Esteem VXi BS III,Maruti,2006,95000,45000,Petrol
208,Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,255000,9300,Petrol
209,Enjoy 1.4 LS 8 STR,Chevrolet,2013,245000,55000,Diesel
210,Suzuki Wagon R 1.0 VXi,Maruti,2015,289999,22000,Petrol
211,Terrano XL D Plus,Nissan,2015,499999,60000,Diesel
212,Duster 85 PS RxE Diesel,Renault,2014,489999,59000,Diesel
213,Duster 85 PS RxL Diesel,Renault,2015,549999,19000,Diesel
214,Suzuki Dzire ZXI,Maruti,2013,380000,30000,Petrol
215,Kwid RXT Opt,Renault,2018,325000,15000,Petrol
216,Suzuki  800 Std,Maruti,2003,57000,56758,Petrol
217,Kwid 1.0 RXT AMT,Renault,2018,349999,10000,Petrol
218,Scala RxL Diesel,Renault,2014,349999,49000,Diesel
219,Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014,410000,41000,Petrol
220,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,225000,45000,Petrol
221,Beat LS Petrol,Chevrolet,2010,120000,43000,Petrol
222,Santro Xing XO eRLX Euro III,Hyundai,2000,59000,56450,Petrol
223,Beat LS Petrol,Chevrolet,2010,80000,56000,Petrol
224,Beat LS Petrol,Chevrolet,2015,220000,32700,Petrol
225,EcoSport Titanium 1.5L TDCi,Ford,2016,599000,30000,Diesel
226,Accent GLX,Hyundai,2006,80000,56000,Petrol
227,TUV300 T4 Plus,Mahindra,2016,675000,9000,Diesel
228,Indica V2 Xeta e GLE,Tata,2008,150000,11000,Petrol
229,Indigo CS LS DiCOR,Tata,2009,72500,46000,Diesel
230,Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2019,610000,73,Petrol
231,Scorpio VLX Special Edition BS III,Mahindra,2004,230000,160000,Diesel
232,Accord,Honda,2009,175000,58559,Petrol
233,EcoSport Titanium 1.5 TDCi,Ford,2014,520000,57000,Diesel
234,Suzuki Ertiga,Maruti,2015,524999,50000,Diesel
235,Amaze,Honda,2014,299999,37000,Petrol
236,Suzuki Dzire,Maruti,2012,299999,40000,Petrol
237,City,Honda,2011,284999,55000,Petrol
238,Scorpio 2.6 CRDe,Mahindra,2007,220000,170000,Diesel
239,Suzuki Dzire,Maruti,2014,424999,55000,Diesel
240,City,Honda,2015,644999,39000,Petrol
241,Mobilio,Honda,2014,399999,44000,Petrol
242,Corolla Altis,Toyota,2009,199999,65000,Petrol
243,City,Honda,2014,584999,39000,Petrol
244,Laura,Skoda,2012,349999,44000,Diesel
245,Duster,Renault,2015,449999,49000,Diesel
246,Suzuki Ertiga,Maruti,2018,799999,9000,Diesel
247,Suzuki Dzire,Maruti,2015,444999,45000,Diesel
248,XUV500,Mahindra,2014,649999,47000,Diesel
249,Verna Fluidic,Hyundai,2012,444999,40000,Diesel
250,Suzuki Vitara Brezza,Maruti,2016,689999,29000,Diesel
251,Suzuki Wagon R,Maruti,2016,344999,15000,Petrol
252,Scorpio,Mahindra,2015,944999,45000,Diesel
253,Amaze,Honda,2014,274999,35000,Petrol
254,XUV500,Mahindra,2013,689999,80000,Diesel
255,Scorpio,Mahindra,2013,574999,68000,Diesel
256,Laura,Skoda,2013,374999,50000,Diesel
257,Polo,Volkswagen,2010,199999,60000,Diesel
258,Elite i20,Hyundai,2016,549999,9000,Petrol
259,Manza Aura Quadrajet,Tata,2012,130000,72000,Diesel
260,Sail UVA Petrol LT ABS,Chevrolet,2013,210000,60000,Petrol
261,Verna Fluidic 1.6 VTVT SX,Hyundai,2013,401000,45000,Diesel
262,A4 2.0 TDI 177bhp Premium,Audi,2012,1350000,40000,Diesel
263,Elantra SX,Hyundai,2013,600000,20000,Petrol
264,Scorpio VLX 4WD Airbag,Mahindra,2013,610000,35000,Diesel
265,KUV100 K8 D 6 STR,Mahindra,2016,400000,20000,Diesel
266,Grand i10,Hyundai,2017,524999,6821,Petrol
267,i20,Hyundai,2014,449999,23000,Petrol
268,Eon,Hyundai,2014,174999,14000,Petrol
269,i10,Hyundai,2012,244999,38000,Petrol
270,i20 Active,Hyundai,2015,574999,35000,Diesel
271,Redi GO,Datsun,2017,244999,22000,Petrol
272,Etios Liva,Toyota,2011,239999,41000,Petrol
273,Accent,Hyundai,2010,99999,45000,Petrol
274,Verna,Hyundai,2014,489999,44000,Diesel
275,Suzuki Swift,Maruti,2013,324999,45000,Diesel
276,Fortuner,Toyota,2011,1074999,52000,Diesel
277,i10 Sportz,Hyundai,2012,230000,34000,Petrol
278,Bolero Power Plus SLE,Mahindra,2018,699000,1800,Diesel
279,XUV500,Mahindra,2015,1000000,15000,Diesel
280,City 1.5 V MT Exclusive,Honda,2010,240000,400000,Petrol
281,Spark LT 1.0 Airbag,Chevrolet,2009,110000,44000,Petrol
282,XUV500,Mahindra,2016,1130000,72000,Diesel
283,Indigo eCS VX CR4 BS IV,Tata,2014,250000,40000,Diesel
284,Rapid Elegance 1.6 TDI CR MT,Skoda,2013,340000,48000,Diesel
285,Vista Quadrajet VX,Tata,2011,120000,90000,Diesel
286,Suzuki Alto K10 VXi AT,Maruti,2015,265000,12000,Petrol
287,Suzuki Zen LXi BS III,Maruti,2003,85000,69900,Petrol
288,i10 Magna 1.2,Hyundai,2011,175000,45000,Petrol
289,Suzuki Swift Dzire Tour LDi,Maruti,2016,350000,166000,Diesel
290,City ZX EXi,Honda,2008,149000,42000,Petrol
291,Jeep MM 550 XDB,Mahindra,2006,425000,122,Diesel
292,Beat Diesel,Chevrolet,2017,150000,62000,Diesel
293,City 1.5 S MT,Honda,2010,225000,70000,Petrol
294,Verna 1.4 VTVT,Hyundai,2014,375000,36000,Petrol
295,Innova 2.5 E MS 7 STR BS IV,Toyota,2012,770000,0,Diesel
296,Suzuki  800 Std – Befo,Maruti,1995,30000,55000,Petrol
297,Suzuki Swift,Maruti,2014,335000,55000,Diesel
298,Elite i20 Asta 1.4 CRDI,Hyundai,2015,450000,20000,Diesel
299,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2012,225000,40000,Petrol
300,Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,80000,50000,Petrol
301,Indigo LX TDI BS III,Tata,2016,130000,104000,Diesel
302,Vento Konekt Diesel Highline,Volkswagen,2011,245000,65000,Diesel
303,Benz C Class 200 CDI Classic,Mercedes,2002,399000,41000,Petrol
304,Suzuki Ertiga VDi,Maruti,2013,450000,90000,Diesel
305,City,Honda,2000,65000,80000,Petrol
306,Santro Xing GLS,Hyundai,2006,75000,46000,Petrol
307,Suzuki Omni Limited Edition,Maruti,2001,70000,70000,Petrol
308,Sonata Transform 2.4 GDi MT,Hyundai,2017,190000,36469,Diesel
309,Elite i20 Sportz 1.2,Hyundai,2018,600000,7800,Petrol
310,Suzuki Alto 800 Lxi,Maruti,2017,240000,60000,Petrol
311,Suzuki Alto LXi BS III,Maruti,2011,155000,32000,Petrol
312,Jazz S MT,Honda,2009,169999,24695,Petrol
313,Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017,450000,15141,Petrol
314,Suzuki Zen LXi BSII,Maruti,2001,40000,40000,Petrol
315,Scorpio W Turbo 2.6DX 9 Seater,Mahindra,2012,165000,65000,Diesel
316,Suzuki Alto K10 VXi,Maruti,2014,270000,22000,Petrol
317,Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2016,280000,59910,Diesel
318,XUV500 W8,Mahindra,2012,560000,100000,Diesel
319,Creta 1.6 SX Plus Petrol,Hyundai,2016,950000,25000,Petrol
320,i20 Magna O 1.2,Hyundai,2013,310000,35000,Petrol
321,Duster 85 PS RxL Explore LE,Renault,2015,715000,65000,Diesel
322,Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014,340000,35000,Petrol
323,Brio V MT,Honda,2012,235000,33000,Petrol
324,TUV300 T4 Plus,Mahindra,2017,610000,68000,Diesel
325,Spark LS 1.0,Chevrolet,2010,95000,23000,Petrol
326,TUV300 T8,Mahindra,2018,1000000,4500,Diesel
327,Suzuki Swift Dzire Tour LDi,Maruti,2015,220000,129000,Diesel
328,X Trail Select Variant,Nissan,2019,1200000,300,Diesel
329,Suzuki Alto 800 Vxi,Maruti,2015,230000,5000,Petrol
330,Ikon 1.3 CLXi NXt Finesse,Ford,2001,45000,65000,Petrol
331,Fortuner 3.0 4x4 MT,Toyota,2010,940000,131000,Diesel
332,Manza ELAN Quadrajet,Tata,2010,155555,111111,Petrol
333,Benz A Class A 180 Sport Petrol,Mercedes,2013,1500000,14000,Petrol
334,Beat LS Diesel,Chevrolet,2016,210000,22000,Diesel
335,EcoSport Trend 1.5L TDCi,Ford,2013,495000,38000,Diesel
336,Indigo LS,Tata,2016,125000,70000,Diesel
337,i20 Magna 1.2,Hyundai,2010,195000,36000,Petrol
338,Vento Highline Plus 1.5 Diesel AT,Volkswagen,2015,550000,34000,Diesel
339,Kwid RXT,Renault,2015,270000,43000,Petrol
340,EcoSport Titanium 1.5L TDCi,Ford,2014,500000,40000,Diesel
341,Amaze 1.5 E i DTEC,Honda,2016,240000,160000,Diesel
342,Verna 1.6 EX VTVT,Hyundai,2017,800000,12000,Petrol
343,5 Series 520d Sedan,BMW,2011,1299000,49000,Diesel
344,Superb 1.8 TFSI AT,Skoda,2011,530000,68000,Petrol
345,Q3 2.0 TDI quattro Premium,Audi,2013,1499000,37000,Diesel
346,Bolero DI BSII,Mahindra,2012,220000,59466,Diesel
347,Figo Duratorq Diesel Titanium 1.4,Ford,2012,250000,99000,Diesel
348,Suzuki Wagon R VXI BS IV,Maruti,2018,395000,25500,Petrol
349,Logan Diesel 1.5 DLS,Mahindra,2009,130000,66000,Petrol
350,Nano GenX XMA,Tata,2010,32000,44005,Petrol
351,TUV300 T4 Plus,Mahindra,2016,540000,35000,Diesel
352,Elite i20 Magna 1.2,Hyundai,2015,405000,28000,Petrol
353,Elite i20 Magna 1.2,Hyundai,2015,400000,30000,Petrol
354,City SV,Honda,2017,760000,4000,Petrol
355,Suzuki Baleno Delta 1.2,Maruti,2016,500000,28000,Petrol
356,Figo Petrol LXI,Ford,2011,175000,75000,Petrol
357,City,Honda,2017,750000,3000,Petrol
358,Elite i20 Magna 1.2,Hyundai,2015,419000,20000,Petrol
359,Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,90000,50000,Petrol
360,Eon Era Plus,Hyundai,2018,140000,2110,Petrol
361,Pajero Sport Limited Edition,Mitsubishi,2015,1540000,43222,Petrol
362,i10 Magna 1.2 Kappa2,Hyundai,2008,275000,100200,Petrol
363,Corolla H2,Toyota,2003,150000,100000,Petrol
364,Suzuki Swift Dzire Tour VXi,Maruti,2011,230000,65,Petrol
365,Indigo CS eLS BS IV,Tata,2015,123000,100000,Diesel
366,Xcent Base 1.1 CRDi,Hyundai,2016,300000,140000,Diesel
367,Accent Executive Edition,Hyundai,2009,165000,48000,Petrol
368,Suzuki Baleno Delta 1.2,Maruti,2016,498000,22000,Petrol
369,Zest XE 75 PS Diesel,Tata,2018,480000,103553,Diesel
370,Suzuki Dzire LDI,Maruti,2017,488000,80000,Diesel
371,Sumo Gold LX BS IV,Tata,2014,250000,99000,Diesel
372,Corolla Altis GL Petrol,Toyota,2010,220000,58000,Petrol
373,Suzuki Eeco 7 STR,Maruti,2013,290000,70000,LPG
374,Fortuner 3.0 4x2 MT,Toyota,2015,1525000,120000,Diesel
375,XUV500 W6,Mahindra,2013,548900,49800,Diesel
376,Tigor Revotron XZ,Tata,2019,650000,100,Diesel
377,Suzuki 800,Maruti,2001,55000,81876,Petrol
378,Suzuki Ertiga Vxi,Maruti,2015,550000,75000,Petrol
379,Mobilio S i DTEC,Honda,2014,399000,44000,Diesel
380,Suzuki Ertiga,Maruti,2016,730000,55000,Diesel
381,Suzuki Vitara Brezza,Maruti,2017,725000,36000,Diesel
382,Verna 1.6 CRDI E,Hyundai,2016,195000,56000,Diesel
383,Suzuki Swift VXI BSIII,Maruti,2007,130000,62000,Petrol
384,Suzuki Omni Select Variant,Maruti,2014,190000,6020,Petrol
385,Amaze,Honda,2013,250000,55700,Diesel
386,Indica,Tata,2005,80000,42000,Petrol
387,Santro Xing,Hyundai,2003,120000,50000,Petrol
388,Suzuki Zen Estilo,Maruti,2010,149000,35000,Petrol
389,Suzuki Wagon R LXI BS IV,Maruti,2014,250000,18500,Petrol
390,Suzuki Wagon R,Maruti,2007,120000,7000,Petrol
391,Brio VX AT,Honda,2017,450000,11000,Petrol
392,Suzuki Zen LXi BSII,Maruti,2003,99999,53000,Petrol
393,Suzuki Zen Estilo LXI Green CNG,Maruti,2008,135000,23000,Petrol
394,Suzuki Wagon R Select Variant,Maruti,2016,225000,35500,Diesel
395,Suzuki Alto LXi BS III,Maruti,2010,99000,22134,Petrol
396,Kwid RXT,Renault,2019,370000,1000,Petrol
397,Nano Lx BSIV,Tata,2010,52000,9000,Petrol
398,XE XE Portfolio,Jaguar,2016,2800000,8500,Petrol
399,Eon Magna Plus,Hyundai,2014,190000,35000,Petrol
400,City 1.5 S MT,Honda,2014,499000,22000,Petrol
401,Motors Ambassador,Hindustan,2002,90000,25000,Diesel
402,Suzuki Ritz GENUS VXI,Maruti,2010,149000,40000,Petrol
403,Grand i10 Magna AT 1.2 Kappa VTVT,Hyundai,2017,400000,20000,Petrol
404,Eon D Lite Plus,Hyundai,2016,120000,87000,Petrol
405,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2015,250000,55000,Petrol
406,Suzuki Wagon R VXI BS IV,Maruti,2017,375000,23000,Petrol
407,Amaze 1.2 VX i VTEC,Honda,2014,381000,6000,Petrol
408,Suzuki Estilo VXi ABS BS IV,Maruti,2013,180000,65000,Petrol
409,Suzuki Vitara Brezza LDi O,Maruti,2016,580000,25000,Diesel
410,Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,278000,39000,Petrol
411,Creta 1.6 SX Plus Petrol AT,Hyundai,2016,1000000,8000,Petrol
